Policy_ID,Policy_Number,Customer_ID_x,Vehicle_ID,IMD_Code,RID,RED,IDV_x,Policy_Tenure,Policy_Term,Policy_Status,Claim_Amount,Claim_Count,NCB,Premium,Polciy_Holder_Name,Mobile_Number,Customer_Area,District_x,Customer_ID_y,Registration_Number,RTO,Make,Model,Vehicle_Type,Fuel_Type,Engine_CC,Manufacturing_Year,Vehicle_First_Registration_Date,Vehicle_Age,IDV_y,Entity_Name,Channel_Type,Area,District_y,Portfolio_Size,Year_Onboarded,Active_Status,Renewed
PID10000,POL10000,CUST10000,VEH10000,IMD10086,2025-12-25,2026-12-24,895645,1,365,Active,186414.38,0,0,26869.35,Aryan Maharaj,6227680402,Samba,Samba,CUST10000,JK08DY4555,JK08,Hyundai,Venue,SUV,Diesel,1197,2025,2025-09-30,1,895645,Secure Future Insurance,Bancassurance,Samba,Samba,392,2022-10-25,Active,0
PID10001,POL10001,CUST10001,VEH10001,IMD10025,2025-07-29,2026-07-28,924994,1,365,Active,0.0,0,0,27749.82,Udant Dewan,6165258086,Bahu Plaza,Jammu,CUST10001,JK02HY5549,JK02,Hyundai,Venue,SUV,Diesel,1197,2024,2025-05-02,2,924994,Mahajan Apex Insurance,POSP,Gandhi Nagar,Jammu,26,2023-09-28,Active,0
PID10002,POL10002,CUST10002,VEH10002,IMD10245,2023-03-16,2024-03-14,268792,1,365,Active,0.0,0,0,8063.76,Gagan Sami,6930086875,Canal Road,Jammu,CUST10002,JK02JC6296,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2019,2019-12-21,7,268792,MahindraVisionInsurance Consultants,Prime Broker,Bakshi Nagar,Jammu,266,2021-07-14,Active,1
PID10003,POL10002,CUST10002,VEH10002,IMD10245,2024-03-15,2025-03-14,268792,2,365,Active,15252.65,1,20,7096.11,Gagan Sami,6930086875,Canal Road,Jammu,CUST10002,JK02JC6296,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2019,2019-12-21,7,268792,MahindraVisionInsurance Consultants,Prime Broker,Bakshi Nagar,Jammu,266,2021-07-14,Active,1
PID10004,POL10002,CUST10002,VEH10002,IMD10245,2025-03-15,2026-03-14,268792,3,365,Active,0.0,1,0,8870.14,Gagan Sami,6930086875,Canal Road,Jammu,CUST10002,JK02JC6296,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2019,2019-12-21,7,268792,MahindraVisionInsurance Consultants,Prime Broker,Bakshi Nagar,Jammu,266,2021-07-14,Active,1
PID10005,POL10002,CUST10002,VEH10002,IMD10245,2026-03-15,2027-03-14,268792,4,365,Active,0.0,0,0,8063.76,Gagan Sami,6930086875,Canal Road,Jammu,CUST10002,JK02JC6296,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2019,2019-12-21,7,268792,MahindraVisionInsurance Consultants,Prime Broker,Bakshi Nagar,Jammu,266,2021-07-14,Active,0
PID10006,POL10003,CUST10002,VEH10003,IMD10414,2025-04-28,2026-04-27,693601,1,365,Active,0.0,0,0,20808.03,Gagan Sami,6930086875,Canal Road,Jammu,CUST10002,JK02KA6046,JK02,Honda,City,Sedan,Petrol,1498,2020,2020-11-27,6,693601,Gupta Pioneer Insurance Associates,Agency,Talab Tillo,Jammu,179,2022-07-14,Active,1
PID10007,POL10003,CUST10002,VEH10003,IMD10414,2026-04-28,2027-04-27,693601,2,365,Active,0.0,0,20,16646.42,Gagan Sami,6930086875,Canal Road,Jammu,CUST10002,JK02KA6046,JK02,Honda,City,Sedan,Petrol,1498,2020,2020-11-27,6,693601,Gupta Pioneer Insurance Associates,Agency,Talab Tillo,Jammu,179,2022-07-14,Active,0
PID10008,POL10004,CUST10003,VEH10004,IMD10292,2023-11-11,2024-11-09,326394,1,365,Active,0.0,0,0,9791.82,Ayushman Chander,7586857022,Doda,Doda,CUST10003,JK06IJ3099,JK06,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2022,2022-08-12,4,326394,Sharma Vertex Insurance Solutions,POSP,Doda,Doda,86,2023-04-24,Active,1
PID10009,POL10004,CUST10003,VEH10004,IMD10292,2024-11-10,2025-11-09,326394,2,365,Active,0.0,1,20,8616.8,Ayushman Chander,7586857022,Doda,Doda,CUST10003,JK06IJ3099,JK06,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2022,2022-08-12,4,326394,Sharma Vertex Insurance Solutions,POSP,Doda,Doda,86,2023-04-24,Active,1
