Customer_ID,Polciy_Holder_Name,Mobile_Number,Customer_Area,District
CUST10000,Aryan Maharaj,6227680402,Samba,Samba
CUST10001,Udant Dewan,6165258086,Bahu Plaza,Jammu
CUST10002,Gagan Sami,6930086875,Canal Road,Jammu
CUST10003,Ayushman Chander,7586857022,Doda,Doda
CUST10004,Viraj Tiwari,6126332296,Trikuta Nagar,Jammu
CUST10005,Rushil Saini,6713965687,Marh,Jammu
CUST10006,Saumya Mall,6322983639,Talab Tillo,Jammu
CUST10007,Nathaniel Sami,7252583295,Narwal,Jammu
CUST10008,Arunima Dugal,6167403959,Trikuta Nagar,Jammu
CUST10009,Gayathri Chaudry,6765261449,Katra,Reasi
CUST10010,Lajita Chatterjee,7519826617,Rajouri,Rajouri
CUST10011,Hemangini Lalla,9503098830,Bishnah,Jammu
CUST10012,Tripti Yadav,9040771452,Rajouri,Rajouri
CUST10013,Kritika Brar,7257239645,Katra,Reasi
CUST10014,Janaki Handa,6352206298,Channi Himmat,Jammu
CUST10015,Chakradev Kari,6621954781,Trikuta Nagar,Jammu
CUST10016,Fariq Kaul,7447690438,Trikuta Nagar,Jammu
CUST10017,Lajita Mall,6442294850,Janipur,Jammu
CUST10018,Janya Gaba,9998142403,Padder,Kishtwar
CUST10019,Isha Kadakia,7744995712,Bhaderwah,Doda
CUST10020,Ekbal Garg,8570558190,Banihal,Ramban
CUST10021,Nihal Shere,8621825645,Bakshi Nagar,Jammu
CUST10022,Anamika Kanda,9272362370,Akhnoor,Jammu
CUST10023,Daksh Karnik,9902298831,Narwal,Jammu
CUST10024,Diya Rattan,8696082691,Reasi,Reasi
CUST10025,Dominic Kakar,6526726249,Channi Himmat,Jammu
CUST10026,Simon Tata,6420762754,Katra,Reasi
CUST10027,Tara Dhar,6895851138,Gandhi Nagar,Jammu
CUST10028,Liam Koshy,9822178461,Billawar,Kathua
CUST10029,Priya Rastogi,9988073988,Mendhar,Poonch
CUST10030,Theodore Devi,7718828437,Udhampur,Udhampur
CUST10031,Gavin Batta,6138926395,Talab Tillo,Jammu
CUST10032,Michael Dutta,6919214736,Surankote,Poonch
CUST10033,Devansh Rajan,7527095776,Akhnoor,Jammu
CUST10034,Upadhriti Wadhwa,6633873344,Canal Road,Jammu
CUST10035,Advay Contractor,6496963502,Rehari,Jammu
CUST10036,Harini Choudhury,8644249710,Satwari,Jammu
CUST10037,Radhika Dugar,8387621024,Akhnoor,Jammu
CUST10038,Aarush Lall,6461642607,Katra,Reasi
CUST10039,Yashica Cherian,6419502848,Hiranagar,Kathua
CUST10040,Yashica Issac,9598675858,Vijaypur,Samba
CUST10041,Kashvi Edwin,7226756202,Kathua,Kathua
CUST10042,Ekiya Suresh,7512670454,Janipur,Jammu
CUST10043,Isaac Patil,7956873037,Talab Tillo,Jammu
CUST10044,Wriddhish Bhardwaj,9475622403,Katra,Reasi
CUST10045,Farhan Chada,7141603506,Bari Brahmana,Samba
CUST10046,Ekapad Walia,7032373782,Shastri Nagar,Jammu
CUST10047,Kabir Soman,6593676791,Trikuta Nagar,Jammu
CUST10048,Alka Wable,6165267167,Gandhi Nagar,Jammu
CUST10049,Siddharth Zacharia,9910369370,Channi Himmat,Jammu
CUST10050,Devika Rastogi,8178619734,Bari Brahmana,Samba
CUST10051,Raksha Varughese,8388196874,Jewel Chowk,Jammu
CUST10052,Jai Kota,9285447288,Kathua,Kathua
CUST10053,Devansh Nigam,9246308127,Trikuta Nagar,Jammu
CUST10054,Victor Kannan,9720907476,Canal Road,Jammu
CUST10055,Ekavir Bhargava,7702635454,Samba,Samba
CUST10056,Ekansh Balay,7722111571,Lakhanpur,Kathua
CUST10057,Ekavir Varkey,7795211210,Talab Tillo,Jammu
CUST10058,Arya Sunder,7956184854,Akhnoor,Jammu
CUST10059,Kevin Solanki,6094840601,Satwari,Jammu
CUST10060,Urvashi Ray,7917672544,R.S. Pura,Jammu
CUST10061,Girindra Chatterjee,9366792261,Katra,Reasi
CUST10062,Irya Sampath,6045227746,Bakshi Nagar,Jammu
